id,item
01251c87-4681-4cb6-93de-ec43768ffaf1,"{""active"":true,""adminFee"":0,""basePrice"":49200,""code"":""TLKM50"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""4f66ff7e-2bda-42a0-ad14-71ff6da3da20"",""name"":""Telkomsel 50.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
013e2395-eb41-41c0-b504-776c799412ee,"{""active"":true,""adminFee"":0,""basePrice"":10225,""code"":""TLKM10"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""be5e94ac-b4de-496e-8dcf-1cd51ab29a4d"",""name"":""Telkomsel 10.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
014a15c3-c44d-45db-bcaf-da7dad684874,"{""active"":true,""adminFee"":0,""basePrice"":144900,""code"":""TLKM150"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""660bab35-f871-4917-b39b-699d825db7c5"",""name"":""Telkomsel 150.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
014cc9ef-248d-470f-8148-837ad857be11,"{""active"":true,""adminFee"":0,""basePrice"":24650,""code"":""TLKM25"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""c79590b9-9696-4167-aff4-e943c7b44157"",""name"":""Telkomsel 25.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
015837b7-74a0-45b9-83e5-b1917b566654,"{""active"":true,""adminFee"":0,""basePrice"":10225,""code"":""TLKM10"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""be5e94ac-b4de-496e-8dcf-1cd51ab29a4d"",""name"":""Telkomsel 10.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
01618548-b4c7-4631-8fd2-0beae09c0216,"{""active"":true,""adminFee"":0,""basePrice"":19875,""code"":""TLKM20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""59177f4e-a7ae-4684-b6ae-fc331499a894"",""name"":""Telkomsel 20.000"",""operatorCode"":""telkomsel"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
016ba330-d5c9-403f-aa7d-9097671d0984,"{""active"":true,""adminFee"":0,""basePrice"":96500,""code"":""DATA_TLKM100"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""12GB +2GB bonus VideoMax  / GiTA Ads (sesuai zona). Masa Aktif 30 Hari ( Khusus pelanggan prabayar ) "",""id"":""769fb87c-5b2e-4918-9386-7a9f0bd67c48"",""name"":""Telkomsel Data 100.000"",""operatorCode"":""telkomsel_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
016e9e30-edc1-4732-a081-7c22318e34da,"{""active"":true,""adminFee"":0,""basePrice"":112628,""code"":""DATA_XL_XTRACOMBO18"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":""Xtra Combo 15GB 2G/3G/4G + 15G Youtube 24Jam + 40 menit Tlp all operator + Youtube Tanpa Kuota jam 01:00-06:00 (30 hari)"",""id"":""4290d4c4-e73c-454c-b2c4-4d4153ecd7e0"",""name"":""XTRA Combo 15GB+15GB"",""operatorCode"":""xl_data"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""data"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0171374b-16a1-4a06-b61f-c33d43425ecb,"{""active"":true,""adminFee"":0,""basePrice"":10800,""code"":""INDST10"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""d078c6ca-10a8-4dc2-8057-2292bbe427b4"",""name"":""Indosat 10.000"",""operatorCode"":""indosat"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""mobile"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0173b0d5-f145-4c84-aeb9-1ce8a8fce42d,"{""active"":true,""adminFee"":2750,""basePrice"":20015,""code"":""PLN20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0e474a15-68ae-4c01-b8b9-b26af6237ce1"",""name"":""PLN 20.000"",""operatorCode"":""pln"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""electricity"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
0177e3cf-9397-443f-9ae3-7cce68890034,"{""active"":true,""adminFee"":2750,""basePrice"":20015,""code"":""PLN20"",""createdAt"":""2018-01-02T00:00:00Z"",""description"":"""",""id"":""0e474a15-68ae-4c01-b8b9-b26af6237ce1"",""name"":""PLN 20.000"",""operatorCode"":""pln"",""partnerId"":""e6cfd614-5dad-416d-9528-5c2cf524d9f7"",""problem"":false,""status"":true,""type"":""electricity"",""userAdminFee"":0,""userSellPrice"":0,""version"":1}"
